metric_id,entity,label,description,calculation,interpretation,applicability,base_relation,numerator_expr,denominator_expr,format,perspective,importance_tier,display_order,direction,benchmarkable,basis_column,gloss,analogy,learn,applies_to
forward_pe,company,Forward P/E,Price relative to expected next-year earnings; sourced from ticker.info forwardPE.,Share price ÷ forecast earnings per share for next year (Yahoo forwardPE).,"Higher = the market pays more per dollar of expected profit (priced for quality/growth, or simply expensive). Always read next to growth.","Undefined for loss-makers (negative or near-zero forecast earnings): the value is meaningless, not ""cheap.""",fct_fundamentals_snapshot,info_forward_pe,,ratio_1,valuation,1,1,lower_better,true,,Price vs expected next-year earnings,Think payback time: how many years of expected earnings are priced into one share today.,"P/E (price-to-earnings) divides the share price by earnings per share. Forward P/E uses analyst estimates for next year's earnings, not last year's results. A higher number often means investors expect faster growth, or are paying a premium today. A lower number can mean the stock is genuinely cheap, or that investors expect slower growth ahead.",operating|financial
ebit_margin_pct,company,Operating margin (TTM),"TTM operating income divided by TTM total revenue (four quarterly statements), times 100; falls back to latest annual when four quarters are unavailable, with the basis recorded in ebit_margin_basis. Not Yahoo's single-quarter operatingMargins.",Operating profit ÷ revenue × 100 (trailing twelve months from four quarters; latest annual as fallback).,Higher = more of each sales dollar kept as operating profit. Stable high margins signal pricing power and efficiency.,Breaks for pre-revenue firms (revenue ≈ 0 → explodes); means something different for financials.,fct_fundamentals_snapshot,qtr_operating_income_0 + qtr_operating_income_1 + qtr_operating_income_2 + qtr_operating_income_3,qtr_total_revenue_0 + qtr_total_revenue_1 + qtr_total_revenue_2 + qtr_total_revenue_3,percent_1,profitability,1,2,higher_better,true,ebit_margin_basis,Operating profit as share of sales (TTM),"For every dollar of sales, this is the slice kept as operating profit before interest and taxes.","Operating margin measures how much profit is left from each dollar of sales after operating costs, before interest and taxes. This figure divides Operating Income by Total Revenue, both summed across the last four quarters: a trailing twelve-month (TTM) margin, not Yahoo's single-quarter snapshot.",operating
revenue_growth_yoy_pct,company,Rev growth YoY (quarter),"Latest reported quarter revenue versus the same quarter a year ago (ticker.info revenueGrowth, times 100).",Latest quarter revenue vs the same quarter a year ago (Yahoo revenueGrowth × 100).,"Higher = faster top-line growth, but growth ≠ health (a company can grow into losses). Single quarter, so noisy.","Distorted by tiny prior-year bases (micro-caps, commodity ramps → huge % off a small base).",fct_fundamentals_snapshot,info_revenue_growth * 100,,percent_1,growth,1,3,higher_better,true,,Sales growth vs same quarter last year,"Compared with a year ago: is the business growing, flat, or shrinking?","Year-over-year (YoY) growth compares revenue in the latest reported quarter with the same quarter one year ago (Yahoo revenueGrowth). One quarter can be noisy, so look for a pattern over time when you dig deeper. Growing sales alone does not mean a healthy business: a company can grow revenue while losing money, so it is worth checking margins and cash flow too. A small prior-year base can also inflate the percentage sharply, so a very large number here does not always mean strong momentum.",operating|financial
net_debt_to_ebitda,company,Net debt / EBITDA,"Net debt (info_net_debt, or info_total_debt minus info_total_cash) divided by Yahoo EBITDA; periods may differ. A rough leverage signal, not a precise accounting ratio.",(Total debt − cash) ÷ EBITDA: roughly how many years of earnings to clear net debt.,"Lower = less leverage, safer. Negative = net cash. High = exposed in downturns or when rates rise.","Meaningless for financials (""cash"" includes customer/policyholder assets); explodes when EBITDA ≈ 0 (distressed/pre-profit).",fct_fundamentals_snapshot,"coalesce(info_net_debt, info_total_debt - info_total_cash)",info_ebitda,ratio_2,solvency,2,4,lower_better,true,,Net debt vs Yahoo EBITDA,"If operating profit stayed steady, about how many years to repay net debt from cash generation?","Net debt is total debt minus cash on hand (Yahoo). EBITDA is Yahoo's reported EBITDA figure, often trailing and not necessarily matched to the same instant as the balance sheet. Use this as a rough leverage signal, not a precise accounting ratio.",operating
fcf_margin_pct,company,FCF margin (annual),"Free cash flow divided by total revenue (latest annual cash flow and income statements), times 100.",Free cash flow ÷ revenue × 100 (latest annual statements).,"Higher = more real cash per sales dollar, harder to fake than accounting profit. The strongest single health signal.",Breaks for pre-revenue firms (revenue ≈ 0); not meaningful for financials.,fct_fundamentals_snapshot,stmt_free_cash_flow * 100,stmt_total_revenue,percent_1,cash,2,7,higher_better,true,,Free cash left from each sales dollar (latest annual statements),"After running the business, how much cash is left from each sales dollar, not the same as accounting profit.","Free cash flow (FCF) is cash left after running and investing in the business. This card computes FCF margin from the latest annual cash flow and income statements, not Yahoo's trailing Key Statistics ratio. Run the metric audit script to compare.",operating
debt_to_equity,company,Debt / equity,"Total borrowings relative to shareholders' equity (the owners' stake), from the latest annual balance sheet.",Total debt ÷ shareholders' equity (latest annual balance sheet).,"Lower = less borrowed money per dollar of owners' capital, so more cushion in a downturn. Higher = more leverage, riskier when profits dip or rates rise.","Distorted when equity is thin or negative: heavy buybacks can push equity below zero, and the ratio then flips or explodes and stops being meaningful. Not shown for banks.",fct_fundamentals_snapshot,stmt_total_debt,stmt_stockholders_equity,ratio_2,solvency,2,5,lower_better,false,,Borrowed money vs owners' money,Like comparing a mortgage to home equity: how much of the company is borrowed versus owned.,"Debt-to-equity divides total debt by shareholders' equity (the owners' stake) from the latest annual balance sheet. It is a second read on leverage alongside Net debt / EBITDA: how heavily the company leans on borrowing versus its own capital. Read a very high number, or negative equity, with care.",operating
current_ratio_stmt,company,Current ratio,"Current assets relative to current liabilities, from the latest annual balance sheet: short-term resources against short-term bills.",Current assets ÷ current liabilities (latest annual balance sheet).,Above 1 means short-term assets cover short-term bills. Higher = more comfortable near-term liquidity; below 1 can signal a cash crunch.,"Not defined for banks: their balance sheet has no current/non-current split. A very high ratio is not automatically good, since it can mean cash sitting idle.",fct_fundamentals_snapshot,stmt_current_assets,stmt_current_liabilities,ratio_2,liquidity,2,6,higher_better,false,,Short-term assets vs short-term bills,Like checking your savings against next month's bills: can the company cover what is due soon?,"The current ratio divides current assets (cash and things convertible to cash within a year) by current liabilities (bills due within a year), from the latest annual balance sheet. Above 1 means near-term resources cover near-term obligations, though a very high ratio can mean cash sitting idle instead of being put to work. Banks do not report this split, so it shows only for operating companies.",operating
statement_roe_pct,company,Return on equity,"Profit earned on owners' equity: profit belonging to common shareholders divided by their equity stake, from the latest annual statements.",Net income to common stockholders ÷ shareholders' equity × 100 (latest annual statements; period-end equity).,"Higher = more profit generated per dollar of owners' capital. A durable high ROE points to an efficient, profitable business.","Misleads when equity is thin or negative: a loss over negative equity can read as a spuriously positive percentage. Uses profit to common shareholders and period-end equity; Yahoo averages equity across the year instead, so it differs from Yahoo's ROE by design. Means something different for banks.",fct_fundamentals_snapshot,stmt_net_income_common * 100,stmt_stockholders_equity,percent_1,returns,2,8,higher_better,false,,Profit earned on owners' money,Like the interest rate the business earns on the capital shareholders have invested.,"Return on equity (ROE) divides profit attributable to common shareholders by their equity stake, from the latest annual statements. It asks: for each dollar owners have in the business, how much profit did it earn this year? We use period-end equity, so it can differ from Yahoo's averaged figure. Watch out when equity is very small or negative: a loss divided by negative equity can come out positive, looking like strong profitability when it is not.",operating|financial
price_to_tangible_book,company,Price / tangible book,"Market value relative to tangible book value (equity minus goodwill and other intangibles), from the latest annual balance sheet.",Market cap ÷ tangible book value (latest annual balance sheet).,"Lower = you pay less per dollar of hard, tangible net worth. For banks it is a core valuation yardstick; below 1 can signal doubts about asset quality.","Tangible book value is equity minus goodwill and other intangibles, a key yardstick for banks. Not shown when intangibles exceed equity (tangible book zero or negative): the ratio would be meaningless.",fct_fundamentals_snapshot,info_market_cap,stmt_tangible_book_value,ratio_2,valuation,1,9,lower_better,false,,Price vs hard book value,Like paying for a house versus its rebuild-from-scratch value: how far above (or below) the tangible net worth is the price?,"Tangible book value strips goodwill and other intangibles out of shareholders' equity, leaving the hard net worth. Price-to-tangible-book divides market value by that figure. Banks are valued heavily on this: near or below 1 means the market is cautious about the balance sheet.",financial
net_margin_pct,company,Net margin,"Bottom-line profit (after everything) as a percent of revenue, from the latest annual statements.",Net income ÷ revenue × 100 (latest annual statements).,"Higher = more of each revenue dollar survives to the bottom line after all costs, interest, and taxes.","Profit after everything ÷ revenue. For a bank, ""revenue"" is net interest plus fees, so read this as overall profitability, not operating efficiency. Breaks for pre-revenue firms (revenue ≈ 0).",fct_fundamentals_snapshot,stmt_net_income * 100,stmt_total_revenue,percent_1,profitability,1,10,higher_better,false,,Bottom-line profit per sales dollar,"Of every dollar that comes in, how many cents are left as final profit after all the bills.","Net margin divides bottom-line net income by revenue. Unlike operating margin, it is after interest and taxes too: the final slice kept. For banks, where ""revenue"" means net interest income plus fees, it reads as overall profitability.",financial
